"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"545","RT @mindgood: ""어떤 이들은 나를 과격하다고 하지만 상위 1%에 부가 집중되는 현실이 과격한 것입니다.""- 버니 샌더스-   #Bernie_Sanders @BernieSanders https://t.co/pdSEr2d26F",FALSE,0,NA,2016-02-02 23:52:36,FALSE,NA,"694669778087075840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jung_tj",221,TRUE,FALSE,NA,NA
"546","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:35,FALSE,NA,"694669774253625344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","XarrotStudios",1528,TRUE,FALSE,NA,NA
"547","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:34,FALSE,NA,"694669771116122112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rockbottom140",505,TRUE,FALSE,NA,NA
"548","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:32,FALSE,NA,"694669763969060864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gregobviously",1528,TRUE,FALSE,NA,NA
"549","RT @mcbyrne: This little girl is hanging out with the press corps taking photos of @BernieSanders. #NotMeUs https://t.co/iWyIn8Vv3G",FALSE,0,NA,2016-02-02 23:52:31,FALSE,NA,"694669759330263042",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LI4Bernie",3,TRUE,FALSE,NA,NA
"550","@BernieSanders Kind of like you could make it sound like she was saying anything, y'know?",FALSE,0,"Damadar",2016-02-02 23:52:31,FALSE,"694669676966744064","694669757480615936","11526742","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Damadar",0,FALSE,FALSE,NA,NA
"551","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:30,FALSE,NA,"694669754934677504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TimKaname",1528,TRUE,FALSE,NA,NA
"552","Good riddance to @JManziel2. Personal responsibility still exists in America. Someone please tell @HillaryClinton and @BernieSanders. #tcot",FALSE,0,NA,2016-02-02 23:52:30,FALSE,NA,"694669754888515584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarswellWilliam",0,FALSE,FALSE,NA,NA
"553","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:30,FALSE,NA,"694669753802162176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmilitoAtanez",1528,TRUE,FALSE,NA,NA
"554","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:29,FALSE,NA,"694669750983589888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AudionRecording",1528,TRUE,FALSE,NA,NA
"555","RT @BrotherCooper89: ""What @BernieSanders did last night wasn't supposed to be possible."" - @EzraKlein/@voxdotcom : https://t.co/JEnMo8aEKC…",FALSE,0,NA,2016-02-02 23:52:28,FALSE,NA,"694669746537627649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ggenneen",15,TRUE,FALSE,NA,NA
"556","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:24,FALSE,NA,"694669730452488193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miltonsoares",505,TRUE,FALSE,NA,NA
"557","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:21,FALSE,NA,"694669717768790017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyle41388",1528,TRUE,FALSE,NA,NA
"558","@AineMedievalDub @peterdaou @HillaryClinton @BernieSanders is actively speaking out against the obvious corruption in govt. that no1 else is",FALSE,0,"AineMedievalDub",2016-02-02 23:52:20,FALSE,"694639329596067840","694669711515189248","18872074","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Magialuna",0,FALSE,FALSE,NA,NA
"559","RT @BostonGlobe: .@BernieSanders crowd chants, ""Feel the Bern!"" #IowaCaucus https://t.co/3Rn7M7XJLP https://t.co/bo5jnu2ZXJ",FALSE,0,NA,2016-02-02 23:52:20,FALSE,NA,"694669711326339072",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sunemiscool",602,TRUE,FALSE,NA,NA
"560","@BernieSanders Hillary the chicken Sh!#t. Doesn't even have the guts to debate where she was employed for 7 years. Wonder why? #FeelTheBern",FALSE,2,"BernieSanders",2016-02-02 23:52:18,FALSE,"694667209797316608","694669703915110400","216776631","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AudionRecording",1,FALSE,FALSE,NA,NA
