"","x"
"947","cruzbots"
"948","cruzcarson"
"949","cruzcontrol"
"950","cruzified"
"951","cruzwaaa"
"952","cry"
"953","crybabytrump"
"954","cryingtrump"
"955","cult"
"956","curious"
"957","currency"
"958","curz"
"959","cuz"
"960","dad"
"961","daily"
"962","dammit"
"963","danish"
"964","databroker"
"965","daughters"
"966","daywhat"
"967","dead"
"968","deal"
"969","dean"
"970","debates"
"971","debunked"
"972","deceive"
"973","decided"
"974","deciding"
"975","decision"
"976","decision2016"
"977","dedicated"
"978","definitely"
"979","definition"
"980","deleting"
"981","deluge"
"982","delusional"
"983","demise"
"984","democrats"
"985","demonstrating"
"986","denies"
"987","descriptive"
"988","deserves"
"989","desperate"
"990","despise"
"991","despite"
"992","detail"
"993","dicksucking"
"994","diego"
"995","dirty"
"996","disappointed"
"997","disappointing"
"998","discovers"
"999","disgusted"
"1000","disingenuousness"
"1001","disorder"
"1002","dissent"
"1003","distraction"
"1004","distracts"
"1005","divided"
"1006","divisive"
"1007","dna"
"1008","dnc"
"1009","doing"
"1010","dole"
"1011","dollars"
"1012","domestic"
"1013","done"
"1014","donnie"
"1015","donny"
"1016","doover"
"1017","dope"
"1018","doprah"
"1019","doublewhammy"
"1020","douche"
"1021","drakes"
"1022","dream"
"1023","dreamed"
"1024","drinking"
"1025","dropout"
"1026","dropped"
"1027","drops"
"1028","drugs"
"1029","drunk"
"1030","dshs15b"
"1031","dsm"
"1032","dtbad4usa"
"1033","dts"
"1034","ducks"
"1035","dude"
"1036","dumping"
"1037","earned"
"1038","easily"
"1039","east"
"1040","edition"
"1041","educate"
"1042","effective"
"1043","effectrednationrising"
"1044","effin"
"1045","eg"
"1046","egos"
"1047","egyptians"
"1048","either"
"1049","election2016"
"1050","elections"
"1051","electricadventure"
"1052","electrifying"
"1053","elsa"
"1054","elses"
"1055","em"
"1056","emphasizing"
"1057","ends"
"1058","enjoyable"
"1059","enjoying"
"1060","entertaining"
"1061","entertainment"
"1062","episode"
"1063","erupts"
"1064","especially"
"1065","europe"
"1066","evangelical"
"1067","eventually"
"1068","evertrumpertantrum"
"1069","everyday"
"1070","evil"
"1071","exaggerator"
"1072","except"
"1073","exception"
"1074","excited"
"1075","excuse"
"1076","exists"
"1077","explanation"
"1078","expression"
"1079","exwifes"
"1080","eyes"
"1081","facts"
"1082","failed"
"1083","fails"
"1084","failure"
"1085","failures"
"1086","fairness"
"1087","fake"
"1088","falling"
"1089","fam"
"1090","famous"
"1091","fancy"
"1092","farm"
"1093","fascinating"
"1094","fastfive"
"1095","fav"
"1096","fave"
"1097","favourite"
"1098","fb"
"1099","fbif"
"1100","fckin"
"1101","fecks"
"1102","feelings"
"1103","feels"
"1104","fevercatch"
"1105","few"
"1106","fewer"
"1107","field"
"1108","fighter"
"1109","figure"
"1110","filter"
"1111","finally"
"1112","findtrumpertantrum"
